,index,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardAnnualDividendRate,ForwardAnnualDividendYield,ForwardPE,FullTimeEmployees,GrossProfitTTM,Industry,LastSplitDate,LastSplitFactor,LatestQuarter,MarketCapitalization,Name,OperatingMarginTTM,PEGRatio,PERatio,PayoutRatio,PercentInsiders,PercentInstitutions,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesFloat,SharesOutstanding,SharesShort,SharesShortPriorMonth,ShortPercentFloat,ShortPercentOutstanding,ShortRatio,Symbol,TrailingPE,ticker
0,0,20.9717,20.8228,24.2366,14.8509,"60 East Rio Salado Parkway, Tempe, AZ, United States, 85281",25.39,Common Stock,1.0368,None,USA,USD,"NortonLifeLock Inc. provides cyber safety solutions for consumers worldwide. The company offers Norton security solutions as a subscription service providing protection for PCs, Macs, and mobile devices against malware, viruses, adware, ransomware, and other online threats on various platforms; and LifeLock identity theft protection solution that offers monitoring, alerts, and restoration services to its customers. It also provides Norton Secure VPN and SurfEasy VPN for online privacy, as well as Norton family, a solution for home and family, which offers protection and security, parental control, and GPS location monitoring services. NortonLifeLock Inc. markets and sells its products and related services through retailers, telecom service providers, hardware original equipment manufacturers, and employee benefit providers, as well as e-commerce platform. The company was formerly known as Symantec Corporation and changed its name to NortonLifeLock Inc. in November 2019. NortonLifeLock Inc. was founded in 1982 and is headquartered in Tempe, Arizona.",0,2020-12-16,0.5,0.0235,894000000,5.7018,11.0465,6.122,2020-11-20,NASDAQ,April,0.5,0.0235,13.6799,3600,2097000000,Software-Infrastructure,2004-12-01,2:1,2020-10-31,12470701056,NortonLifeLock Inc,0.3471,1.2546,14.0538,0.4237,0.937,99.782,1188.0709,5.3272,1.318,-0.91,0.03,0.0476,0.2899,4.113,2472000000,Technology,586803167,591870016,21348748,21363513,0.0499,0.04,3.7,NLOK,14.0538,NLOK
0,0,19.9678,22.4431,36.6496,14.0162,"201 Merritt 7, Norwalk, CT, United States, 06851-1056",18.2,Common Stock,1.8524,28.187,USA,USD,"Xerox Holdings Corporation designs, develops, and sells document management systems and solutions in the United States, Europe, Canada, and internationally. It offers intelligent workplace services; and digital services that leverage its software capabilities in workflow automation, personalization and communication software, content management solutions, and digitization services. The company also provides desktop monochrome, and color and multifunction printers; digital printing presses and light production devices, and solutions; graphic communications and production solutions; and IT services, such as PC and network infrastructure, communications technology, and network administration, as well as cloud and on-server support services. In addition, it provides FreeFlow a portfolio of software solutions for the automation and integration to the processing of print job comprises file preparation, final production, and electronic publishing; XMPie, a personalization and communication software that support the needs of omni-channel communications customers; and DocuShare, a content management platform to capture, store, and share paper and digital content. Further, the company operates a network of centers that digitize and automate paper and digital workflows; and sells paper products, wide-format systems, and software and IT services. The company sells its products and services directly to its customers through its direct sales force, as well as through independent agents, dealers, value-added resellers, systems integrators, and the Web. Xerox Holdings Corporation was founded in 1906 and is based in Norwalk, Connecticut.",0.852,2021-01-29,1,0.0476,776000000,0.852,7.9962,0.8837,2020-12-30,NYSE,December,1,0.0476,10.2775,24700,2626000000,Information Technology Services,2017-06-15,1:4,2020-12-31,4172057600,Xerox Holdings Corporation,0.0581,0.4209,24.6831,0.7042,4.838,89.604,0.7461,0.6259,0.0273,-0.899,-0.21,0.0171,0.0331,33.601,7022000128,Technology,160002277,198386000,4265867,4612577,0.0297,0.02,2.13,XRX,24.6831,XRX
0,0,63.8477,84.7475,91.62,21.1674,"44201 Nobel Drive, Fremont, CA, United States, 94538",101,Common Stock,1.4827,84.854,USA,USD,"SYNNEX Corporation provides business process services in the United States and internationally. It operates in two segments, Technology Solutions and Concentrix. The Technology Solutions segment distributes peripherals; information technology systems, including data center servers and storage solutions; system components; software; networking, communications, and security equipment; consumer electronics; and complementary products. It also provides systems design and integration solutions, build-to-order, and configure-to-order assembly capabilities; logistics services that include outsourced fulfillment, virtual distribution, and direct ship to end-users; cloud services; online services; and financing services comprising net terms, third party leasing, floor plan financing, and letters of credit backed financing and arrangements. In addition, this segment offers marketing services, such as direct mail, external media advertising, reseller product training, targeted telemarketing campaigns, trade shows, trade groups, database analysis, print on demand services, and Web-based marketing. This segment serves resellers, system integrators, and retailers. The Concentrix segment offers a portfolio of strategic solutions and end-to-end business outsourcing services focused on customer experience, process optimization, technology innovation, front and back-office automation, and business transformation services. This segment serves clients in various industry verticals, including automotive; banking, financial services, and insurance; energy and public-sector; healthcare; media and communications; retail and e-commerce; technology and consumer electronics; and travel and transportation. The company was formerly known as SYNNEX Information Technologies, Inc. and changed its name to SYNNEX Corporation in October 2003. SYNNEX Corporation was founded in 1980 and is headquartered in Fremont, California.",10.214,2021-01-29,0.8,0.0098,1354860032,10.214,6.9677,0.2348,2021-01-21,NYSE,November,0.8,0.0098,11.8483,0,2847605000,Information Technology Services,2020-12-01,2454:1000,2020-11-30,4211331072,SYNNEX Corporation,0.0411,1.1844,7.991,0.0147,19.593,78.496,1.058,0.1864,0.0214,0.212,0.127,0.0503,0.1302,484.785,24675563520,Technology,41284178,51133000,892907,785552,0.0259,0.02,2.05,SNX,7.991,SNX
0,0,25.1763,35.1909,39.3,10.55,"864 Spring Street Northwest, Atlanta, GA, United States, 30308",42.67,Common Stock,1.8356,9.3,USA,USD,"NCR Corporation provides software and services worldwide. The company operates through Banking, Retail, Hospitality, and Other segments. The Banking segment offers solutions for financial services industry, including digital banking, branch transformation, and digital connected services; software solutions and platforms, such as a multi-vendor ATM management systems software application suites; payment processing software; fraud and loss prevention applications; and cash management and video banking software, as well as related hardware products comprise ATMs, interactive teller machines, cash dispensers, and image processing and check hardware. The Retail segment provides solutions for retail industry comprising comprehensive API-point of sale (POS) retail software platforms and applications, hardware terminals, self-service kiosks, which consists self-checkout (SCO), and payment processing solutions, as well as bar-code scanners. The Hospitality segment offers solutions for hospitality industry, including payment processing solutions for quick-service and table-service restaurants, convenience and fuel retailers, and other businesses; back-office inventory and store, and restaurant management applications, such as cloud-based loss prevention video technology and services. This segment also provides hospitality-oriented hardware products, which include POS terminals, SCO, and order and payment kiosks, bar code scanners, and printers and peripherals. The other segment offers maintenance, managed, and professional services using solutions comprises remote management and monitoring services for telecommunications and technology industry. NCR Corporation has partnership with Powertranz to enable integrated POS payments across Caribbean. NCR Corporation was founded in 1881 and is headquartered in Atlanta, Georgia.",3.157,None,None,0,642000000,3.157,10.6547,1.2267,None,NYSE,December,0,0,13.0039,36000,1942000000,Information Technology Services,2005-01-24,2:1,2020-09-30,4300104192,NCR Corporation,0.0676,0.74,10.567,0,1.385,93.229,3.5984,0.7771,0.0723,1.148,-0.109,0.0299,0.3682,50.475,6462000128,Technology,127563307,128900000,7251437,6145464,0.0631,0.06,4.33,NCR,10.567,NCR
0,0,50.555,52.3236,66.7652,42.7811,"2200 Mission College Boulevard, Santa Clara, CA, United States, 95054-1549",61.08,Common Stock,0.7348,19.95,USA,USD,"Intel Corporation designs, manufactures, and sells essential technologies for the cloud, smart, and connected devices for retail, industrial, and consumer uses worldwide. The company operates through DCG, IOTG, Mobileye, NSG, PSG, CCG, and All Other segments. It offers platform products, such as central processing units and chipsets, and system-on-chip and multichip packages; and non-platform or adjacent products comprising accelerators, boards and systems, connectivity products, and memory and storage products. The company also provides Internet of Things products, including high-performance compute solutions for targeted verticals and embedded applications; and computer vision and machine learning-based sensing, data analysis, localization, mapping, and driving policy technology. It serves original equipment manufacturers, original design manufacturers, and cloud service providers. Intel Corporation was founded in 1968 and is headquartered in Santa Clara, California.",4.94,2021-03-01,1.39,0.025,36115001344,4.94,6.2732,3.057,2021-02-04,NASDAQ,December,1.39,0.025,11.6144,110600,43612000000,Semiconductors,2000-07-31,2:1,2020-12-31,225537130496,Intel Corporation,0.3066,2.3226,11.2368,0.2051,0.049,66.406,2.7831,3.0169,0.2684,-0.097,-0.011,0.1031,0.2636,18.544,77866999808,Technology,4059627710,4097999872,52785556,68235196,0.013,0.01,1.18,INTC,11.2368,INTC
0,0,131.8808,165.497,213.05,78.21,"5100 Patrick Henry Drive, Santa Clara, CA, United States, 95054",197.83,Common Stock,1.541,38.225,USA,USD,"Coherent, Inc. provides lasers, laser-based technologies, and laser-based system solutions for a range of scientific, commercial, and industrial research applications. It operates in two segments, OEM Laser Sources and Industrial Lasers & Systems. The company designs, manufactures, markets, and services lasers, laser tools, precision optics, and related accessories; and laser measurement and control products. Its products are used for applications in microelectronics, materials processing, original equipment manufacturer components and instrumentation, and scientific research and government programs. The company markets its products through a direct sales force in the United States, as well as through direct sales personnel and independent representatives internationally. Coherent, Inc. was founded in 1966 and is headquartered in Santa Clara, California.",-17.181,2012-12-27,None,0,100727000,2.22,100.4406,4.1195,2012-12-17,NASDAQ,September,0,0,34.4828,4875,410874000,Scientific & Technical Instruments,1998-03-02,2:1,2020-09-30,4910035968,"Coherent, Inc",0.0194,0.34,129.8515,0,1.585,94.085,5.4133,4.0269,-0.337,11.447,-0.056,0.0076,-0.3745,50.985,1228999040,Technology,24070119,24447500,836466,848054,0.0383,0.03,4.08,COHR,129.8515,COHR
0,0,129.5739,153.6788,167.94,57.0019,"5775 Morehouse Drive, San Diego, CA, United States, 92121-1714",168.71,Common Stock,1.365,5.373,USA,USD,"QUALCOMM Incorporated engages in the development and commercialization of foundational technologies and products are used in mobile devices and other wireless products, including network equipment, broadband gateway equipment, consumer electronic devices, and other connected devices worldwide. It operates through three segments: Qualcomm CDMA Technologies (QCT); Qualcomm Technology Licensing (QTL); and Qualcomm Strategic Initiatives (QSI). The QCT segment develops and supplies integrated circuits and system software based on 3G/4G/5G and other technologies for use in wireless voice and data communications, networking, application processing, multimedia, and global positioning system products. The QTL segment grants licenses or provides rights to use portions of its intellectual property portfolio, which include various patent rights useful in the manufacture and sale of wireless products comprising products implementing CDMA2000, WCDMA, CDMA TDD, LTE, and/or 5G standards and their derivatives. The QSI segment invests in early-stage companies in various industries, including artificial intelligence, automotive, digital healthcare, enterprise, IoT, mobile and networking and investment for supporting the design and introduction of new products and services for voice and data communications, and new industry segments. The company also provides development, and other services and related products to the United States government agencies and their contractors. QUALCOMM Incorporated was founded in 1985 and is headquartered in San Diego, California.",4.52,2021-03-25,2.6,0.0166,7619999744,4.52,23.5945,7.7348,2021-03-03,NASDAQ,September,2.6,0.0166,22.2717,41000,14276000000,Semiconductors,2004-08-16,2:1,2020-09-30,177495015424,QUALCOMM Incorporated,0.2646,0.9704,34.5752,0.6148,0.138,77.643,29.2078,7.631,0.2209,5.229,0.734,0.1135,0.9463,20.732,23530999808,Technology,1129065990,1135750016,16784019,16192630,0.0148,0.01,2.55,QCOM,34.5752,QCOM
0,0,37.1043,43.3259,46.18,17.4981,"10560 Dr. Martin Luther King, Saint Petersburg, FL, United States, 33716",51.39,Common Stock,1.3172,13.154,USA,USD,"Jabil Inc. provides manufacturing services and solutions worldwide. The company operates in two segments, Electronics Manufacturing Services and Diversified Manufacturing Services. It offers electronics design, production, and product management services. The company provides electronic circuit design services, such as application-specific integrated circuit design, firmware development and rapid prototyping services; and designs plastic and metal enclosures that include the electro-mechanics, such as the printed circuit board assemblies (PCBA). It also specializes in the three-dimensional mechanical design comprising the analysis of electronic, electro-mechanical, and optical assemblies, as well as offers various industrial design, advance mechanism development, and tooling management services. In addition, the company provides computer-assisted design services consisting of PCBA design, and PCBA design validation and verification services; and other consulting services, including the generation of a bill of materials, approved vendor list, and assembly equipment configuration for various PCBA designs. Further, it offers product and process validation services, such as product system, product safety, regulatory compliance, and reliability tests, as well as manufacturing test solution manufacturing development services. Additionally, the company offers systems assembly, test, direct-order fulfillment, and configure-to-order services. It serves automotive and transportation, capital equipment, cloud, computing and storage, defense and aerospace, industrial and energy, networking and telecommunications, print and retail, and smart home and appliances, as well as edge devices and accessories, healthcare, mobility, and packaging industries. The company was formerly known as Jabil Circuit, Inc. and changed its name to Jabil Inc. in June 2017. Jabil Inc. was founded in 1966 and is headquartered in Saint Petersburg, Florida.",1.386,2021-03-02,0.32,0.0077,1638337024,1.386,5.9031,0.3,2021-02-11,NYSE,August,0.32,0.0077,9.1659,260000,1930813000,Electronic Components,2000-03-31,2:1,2020-11-30,6212781056,Jabil Inc,0.0305,0.91,29.8485,0.0928,8.007,91.183,3.1388,0.2315,0.0078,4.038,0.044,0.0354,0.113,182.886,27593269248,Technology,135216968,150176000,2724870,2656371,0.0251,0.02,2.48,JBL,29.8485,JBL
0,0,97.7632,122.9239,141.67,43.9,"121 Seaport Boulevard, Boston, MA, United States, 02210",144.14,Common Stock,1.3277,12.385,USA,USD,"PTC Inc. operates as software and services company in the Americas, Europe, and the Asia Pacific. The company operates in two segments, Software Products and Professional Services. It offers ThingWorx, an IIoT platform that enables customers to address digital transformation of their operations, products, and services; ThingWorx Solution Central, a centralized portal in the cloud that allows users of ThingWorx to discover, deploy, and manage ThingWorx applications; and ThingWorx Kepware, which enables users to connect, manage, monitor, and control disparate devices and software applications. The company also provides Vuforia Studio, a cloud-based tool that enables industrial enterprises to author and publish augmented reality (AR) experiences; Vuforia Expert Capture that chronicles the real-time movements of a person wearing an AR headset; Vuforia Engine technology for application development; Vuforia Chalk, a collaboration and remote assistance solution; and Vuforia Spatial Toolbox technology to accelerate the development of spatial computing prototypes and use cases. In addition, it offers Onshape, a cloud-native multi-tenant platform that unites computer-aided design with data management, collaboration tools, and real-time analytics; Creo, a suite of product design software, which provides capabilities for design, real-time simulation, additive manufacturing, design flexibility, advanced assembly design, piping and cabling design, advanced surfacing, virtual prototyping, and other design functions; and Windchill, a product lifecycle management software. Further, the company provides Integrity, an application lifecycle management solution; Servigistics, service parts management solution; and consulting, implementation, training, cloud, and license and support services. The company was formerly known as Parametric Technology Corporation and changed its name to PTC Inc. in January 2013. PTC Inc. was founded in 1985 and is headquartered in Boston, Massachusetts.",1.01,None,None,0,347267008,1.01,41.1866,10.7241,None,NASDAQ,September,0,0,45.045,6243,1124144000,Software-Application,2006-02-28,2:5,2020-12-31,15505679360,PTC Inc,0.1924,2.5483,131.5941,0,10.088,86.965,10.7809,10.1326,0.0776,-0.35,0.205,0.052,0.099,13.205,1531355008,Technology,104841330,116663000,1588544,1442109,0.0171,0.01,2.38,PTC,131.5941,PTC
0,0,81.5443,100.2878,112.5,28.47,"350 West Washington Street, Tempe, AZ, United States, 85281",87.49,Common Stock,1.2694,50.919,USA,USD,"First Solar, Inc. provides photovoltaic (PV) solar energy solutions in the United States and internationally. It operates in two segments, Modules and Systems. The Modules segment designs, manufactures, and sells cadmium telluride solar modules that convert sunlight into electricity to integrators and operators of PV solar power systems. The Systems segment provides power plant solutions, such as project development; engineering, procurement, and construction; and operating and maintenance services to utilities, independent power producers, commercial and industrial companies, and other system owners. The company was formerly known as First Solar Holdings, Inc. and changed its name to First Solar, Inc. in 2006. First Solar, Inc. was founded in 1999 and is headquartered in Tempe, Arizona.",2.102,None,None,0,769331008,2.102,22.4225,2.5888,None,NASDAQ,December,0,0,25.9067,6600,549212000,Solar,None,None,2020-09-30,10507521024,"First Solar, Inc",0.1544,1.0353,47.1694,0,11.946,75.58,1.8968,2.9309,0.0638,4,0.696,0.0481,0.0422,33.118,3501477120,Technology,93200742,105976000,8356291,7593717,0.1008,0.08,2.67,FSLR,47.1694,FSLR
