,0,1,2,3,4,5,6,7,8
ticker,q4y1_gross_profit,q4y1_total_revenue,q4y1_earnings_estimate,q3y1_gross_profit,q3y1_total_revenue,q3y1_earnings,q2y1gross_profit,q2y1_total_revenue,q2y1_earnings
NLOK,536000000.0,626000000.0,0.37,528000000.0,614000000.0,64000000.0,517000000.0,614000000.0,118000000.0
XRX,651000000.0,1767000000.0,0.6,564000000.0,1465000000.0,90000000.0,712000000.0,1860000000.0,27000000.0
SNX,823355000.0,7413944000.0,1.67,717092000.0,6464782000.0,215152000.0,663813000.0,5532639000.0,134464000.0
NCR,441000000.0,1589000000.0,0.58,377000000.0,1484000000.0,31000000.0,397000000.0,1503000000.0,64000000.0
INTC,11348000000.0,19978000000.0,0.93,9741000000.0,18333000000.0,5857000000.0,10507000000.0,19728000000.0,4276000000.0
COHR,112233000.0,316751000.0,0.85,95277000.0,298330000.0,7689000.0,94111000.0,293147000.0,-8708000.0
QCOM,5580000000.0,8346000000.0,2.08,2813000000.0,4893000000.0,2960000000.0,2919000000.0,5216000000.0,845000000.0
JBL,634560000.0,7832529000.0,0.94,490701000.0,7300015000.0,200442000.0,456148000.0,6335642000.0,67731000.0
PTC,306366000.0,390981000.0,0.65,272497000.0,351721000.0,53406000.0,276576000.0,359603000.0,34678000.0
FSLR,313915000.0,927565000.0,1.23,137460000.0,642411000.0,155037000.0,90338000.0,532124000.0,36911000.0
GRWG,14570768.0,55007475.0,0.07,11585337.0,43451840.0,3337333.0,8946249.0,32981506.0,2573943.0
EGOV,49493000.0,134590000.0,0.25,37369000.0,93589000.0,25091000.0,34124000.0,91119000.0,13796000.0
AMRS,-9761000.0,34258000.0,-0.09,-10058000.0,30005000.0,-23156000.0,214000.0,29130000.0,-110422000.0
LNG,342000000.0,1421000000.0,0.65,1276000000.0,2373000000.0,-463000000.0,1500000000.0,2544000000.0,197000000.0
OKE,908590000.0,2174264000.0,0.72,720271000.0,1660729000.0,312316000.0,859744000.0,2136672000.0,134321000.0
WMB,1196000000.0,1933000000.0,0.31,1175000000.0,1781000000.0,309000000.0,1167000000.0,1913000000.0,303000000.0
EQT,131948000.0,588397000.0,-0.23,56683000.0,488213000.0,-600640000.0,237407000.0,705264000.0,-263075000.0
CVX,10549000000.0,23997000000.0,0.06,7782000000.0,15926000000.0,-207000000.0,14196000000.0,29705000000.0,-8270000000.0
VLO,122000000.0,14470000000.0,-1.42,2463000000.0,9613000000.0,-464000000.0,-1595000000.0,20734000000.0,1253000000.0
XOM,14372000000.0,45425000000.0,0.01,11313000000.0,32277000000.0,-680000000.0,14754000000.0,55134000000.0,-1080000000.0
MUR,252730000.0,425324000.0,-0.06,93569000.0,285745000.0,-243553000.0,419148000.0,600558000.0,-317184000.0
UNM,834600000.0,2996300000.0,1.2,874600000.0,3021200000.0,231100000.0,722900000.0,2871100000.0,265500000.0
VIRT,266608000.0,539315000.0,0.79,561498000.0,842400000.0,116709000.0,668993000.0,928445000.0,199142000.0
AFL,2063000000.0,5665000000.0,1.05,1889000000.0,5407000000.0,2456000000.0,1554000000.0,5162000000.0,805000000.0
WTM,440700000.0,459500000.0,113.04,236300000.0,259600000.0,232900000.0,-79200000.0,-59200000.0,115400000.0
KKR,4382822000.0,4382822000.0,0.4,2886495000.0,2886495000.0,1064843000.0,-4713548000.0,-4713548000.0,706969000.0
PYPL,2644000000.0,5459000000.0,1.0,2555000000.0,5261000000.0,1021000000.0,1889000000.0,4618000000.0,1530000000.0
SIVB,1251696000.0,1251696000.0,4.19,1097323000.0,1097323000.0,392910000.0,815294000.0,815294000.0,446307000.0
EAF,155125000.0,286987000.0,0.39,150118000.0,280718000.0,94234000.0,179729000.0,318646000.0,92776000.0
AL,298547000.0,493601000.0,0.78,327329000.0,521349000.0,120395000.0,322492000.0,511387000.0,147625000.0
MAS,752000000.0,1983000000.0,0.74,628000000.0,1764000000.0,275000000.0,547000000.0,1581000000.0,224000000.0
ROK,639300000.0,1570000000.0,1.89,554200000.0,1394000000.0,262700000.0,698800000.0,1681300000.0,317800000.0
AGCO,578700000.0,2497500000.0,1.12,432700000.0,2006800000.0,157300000.0,450500000.0,1928300000.0,69700000.0
VRSK,462700000.0,702700000.0,1.3,443000000.0,678800000.0,185800000.0,432100000.0,689800000.0,179000000.0
GNRC,276149000.0,701355000.0,1.97,215301000.0,546848000.0,114970000.0,172320000.0,475915000.0,66145000.0
AAXN,98240000.0,166442000.0,0.35,88177000.0,141259000.0,-873000.0,88608000.0,147162000.0,-30759000.0
SPCE,0.0,0.0,-0.3,0.0,0.0,-76950000.0,65000.0,238000.0,-62518000.0
